Date,Location
10/27/2023,"Great Falls, MT"
10/28/2023,"Great Falls, MT"
11/4/2023,"Great Falls, MT"
11/10/2023,"Portland, OR"
11/11/2023,"Portland, OR"
11/16/2023,"Butte, MT"
11/17/2023,"Butte, MT"
12/3/2023,"Havre, MT"
